Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
11,No don’t I beg of you!,Chandler,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",The Interviewer,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
17,"No-no-no-no, no! Who, who were you talking about?",Joey,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
28,No way!,Chandler,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
32,Can I get a beer.,Chandler,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
34,You betcha!,Chandler,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
40,He was with her when he wrote this poem.,Phoebe,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
61,Yeah.,Rachel,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
63,Ameri-ccan.,Joey,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
81,I’m sorry.,Chandler,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
82,I’m so sorry!,Chandler,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
85,He fell asleep too!,Chandler,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
110,"Ok, pure evil , horny and alone . I've done this",Chandler,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
117,This is my wedding.,Ross,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
146,Really?!,Mona,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
172,"GO, GO, GO!",Ross,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
176,What’s with all this sand?,Monica,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
191,"Uhh, the ball thing.",Joey,neutral,18,1,5,21,"0:05:09,642","0:05:11,603"
236,"Water breaking, what do you mean? What's that, water breaking?",Joey,negative,22,2,1,23,"00:09:06,337","00:09:09,714"
240,How can you not know which one?,Phoebe,negative,23,2,3,11,"0:10:20,870","0:10:22,422"
248,"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with.",Rachel,neutral,24,1,3,14,"00:10:44,727","00:10:49,397"
260,: Yeah.,Mr. Treeger,neutral,25,4,4,4,"00:20:54,962","00:20:56,462"
267,Really?,Joey,positive,25,11,4,4,"00:21:21,029","00:21:22,113"
273,Who knows?,Joey,neutral,26,3,5,18,"00:09:51,882","00:09:53,508"
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,Monica,positive,29,0,9,23,"00:08:23,586","00:08:31,426"
301,You are not supposed to give people advice!,Monica,negative,29,7,9,23,"00:08:57,119","00:08:59,871"
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,negative,29,8,9,23,"00:09:01,541","00:09:04,209"
336,The actress!,Ross,positive,32,7,1,12,"0:11:28,021","0:11:28,166"
337,"Oh, thank you!   What’s going on?",Monica,positive,33,9,6,24,"00:04:37,402","00:04:44,616"
344,"Oh, yeah, you have to tell her.",Chandler,neutral,32,15,1,12,"00:11:43,244","00:11:45,120"
393,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",Monica,positive,37,2,7,19,"00:15:49,073","00:15:53,910"
417,"Well, I don’t understand why Adrienne’s attracted to Victor.",Kate,negative,39,10,3,19,"00:11:32,692","00:11:37,112"
424,It doesn’t say that in the script.,Kate,negative,39,17,3,19,"0:12:00,177","0:12:02,529"
427,Yeah! You gotta tell a girl before you tape her. Such a rookie mistake.,Joey,negative,40,1,8,4,"00:04:40,405","00:04:43,532"
432,Yeah! Ask them if they brought their friends any souvenirs!,Joey,positive,40,6,8,4,"00:04:55,169","00:04:57,421"
444,Sure. So how long you been...,Joey,neutral,41,3,1,13,"00:05:14,147","00:05:18,358"
448,I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy.,Mr. Tribbiani,neutral,41,7,1,13,"00:05:29,203","00:05:34,333"
451,...I d'know.,Joey,neutral,41,10,1,13,"00:05:41,049","00:05:42,090"
452,Then y'haven't. You're burning your tomatoes.,Mr. Tribbiani,neutral,41,11,1,13,"0:05:44,844","0:05:47,514"
460,"Oh, great. Although I did sit down where there wasn’t a chair.",Rachel,neutral,43,1,3,19,"00:21:35,752","00:21:40,381"
462,"Oh, well, I guess I had that one coming.",Rachel,neutral,43,3,3,19,"00:21:43,927","00:21:47,221"
480,"All right, cut, let’s pick again, pick again.",Rachel,neutral,46,4,4,19,"0:13:06,577","0:13:08,259"
490,No they didn’t!,Chandler,positive,46,14,4,19,"00:13:48,285","00:13:49,619"
505,You wanna smell him?,Joey,neutral,47,14,2,6,"00:06:49,700","00:06:50,784"
516,I mean what’s more important?,Joey,neutral,49,6,6,18,"0:13:21,550","0:13:22,677"
521,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,49,11,6,18,"00:13:36,482","00:13:40,235"
529,"No, that was Dana Caplin.",Chandler,neutral,49,19,6,18,"00:13:56,919","00:13:58,461"
547,I can’t believe it!,Joey,negative,50,14,6,21,"0:14:41,881","0:14:42,215"
550,Hey.,Ross,neutral,51,0,3,15,"00:11:10,086","00:11:12,629"
554,For what? For letting you throw me out of your office?,Ross,negative,51,4,3,15,"00:11:26,018","00:11:28,645"
556,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",Ross,negative,51,6,3,15,"00:11:40,616","00:11:45,745"
569,Does it have to do with Joey?,Monica,neutral,52,8,3,21,"0:13:20,424","0:13:21,676"
577,Like I have nothing better to do!,Monica,neutral,53,4,6,24,"00:20:53,627","00:20:56,045"
624,"Hi Mom, it's Jill.",Jill,neutral,56,1,1,7,"00:02:23,309","00:02:24,643"
646,Tomorrow at 8:30.,Doug,neutral,59,2,3,24,"0:21:05,361","0:21:06,819"
651,"Joel-burg, you maniac!",Doug,positive,59,7,3,24,"00:21:10,644","00:21:12,853"
